file,speaker_id,text,gender,transcription,WER,total_silence,total_middle_silence,n_pauses,n_middle_pauses,total_duration,not_silence_duration,trimmed_duration,n_words,n_chars,speed_rate_word,speed_rate_char,speed_rate_word_trimmed,speed_rate_char_trimmed,RMS,ZCR,MFCC_5,MFCC_10,MFCC_15,MFCC_20,MFCC_25,MFCC_30,chroma,duration,meanF0Hz,stdevF0Hz,HNR,localJitter,localabsoluteJitter,rapJitter,ppq5Jitter,ddpJitter,localShimmer,localdbShimmer,apq3Shimmer,apq5Shimmer,apq11Shimmer,ddaShimmer,f1_mean,f2_mean,f3_mean,f4_mean,f1_median,f2_median,f3_median,f4_median,pF,fdisp,avgFormant,mff,fitch_vtl,delta_f,vtl_delta_f
test-clean/1089/134686/1089-134686-0000.flac,1089,HE HOPED THERE WOULD BE STEW FOR DINNER TURNIPS AND CARROTS AND BRUISED POTATOES AND FAT MUTTON PIECES TO BE LADLED OUT IN THICK PEPPERED FLOUR FATTENED SAUCE,M,HE HOPED THERE WOULD BE STO FOR DINNER TURNIPS AND CARROTS AND BROISED POTATOES AND FAT MUTTEN PIECES TO BE LADLED OUT IN THICK PEPPERED FLOWER FATTONED SAUCE,0.1785714285714285,2.682999999999998,1.6929999999999985,9,7,10.435,7.752000000000002,9.486,29,130,0.3598275862068966,0.0802692307692307,0.3271034482758621,0.0729692307692307,0.019094668138948,21757.0,-38.47,-19.47898,-12.922482,-10.060541,-8.444386,-7.231254,0.45492548,10.435,96.87512498352984,14.086003740563246,10.96544866912381,0.0227375310132974,0.0002346263840793,0.0074318939544436,0.0083797964290237,0.0222956818633309,0.1023582412896613,0.916212195020976,0.0283560968714598,0.0473092928731088,0.123814729660037,0.0850682906143794,443.7246765601277,1466.8408706808125,2309.5661002099187,3423.820893759316,422.2951217806606,1449.3899279973834,2373.151407253735,3445.6475325503725,-0.9577639014881908,1007.7841369232372,1922.6209973955376,1495.7168979799517,18.7606565384148,970.3751111879548,18.0342630372868
test-clean/1089/134686/1089-134686-0001.flac,1089,STUFF IT INTO YOU HIS BELLY COUNSELLED HIM,M,STUFF IT INTO YOU HIS BELLY COUNCELED HIM,0.125,0.8450000000000001,0.0,2,0,3.275,2.43,2.491,7,37,0.4678571428571428,0.0885135135135135,0.3558571428571428,0.0673243243243243,0.0108743211452776,5805.0,-49.485832,-22.699957,-14.227285,-11.010795,-8.975859,-7.5598125,0.502686,3.275,85.60608201176055,9.393176718428723,7.50047804432276,0.0320745121770592,0.0003774671158302,0.0160801470547912,0.0125236113376599,0.0482404411643738,0.1372895797549702,1.2344674137131362,0.0480248470398099,0.0851456806258581,0.155529989693048,0.1440745411194297,420.5651028701956,1552.7467640988011,2488.7966806752306,3529.0718918205075,407.3877516443008,1572.0526676213458,2513.953346955672,3573.3041614737767,-0.4472005386293124,1055.3054699431586,2016.6744819237736,1548.7294779271658,18.18002241242804,1016.8200385619796,17.210518416561772
test-clean/1089/134686/1089-134686-0002.flac,1089,AFTER EARLY NIGHTFALL THE YELLOW LAMPS WOULD LIGHT UP HERE AND THERE THE SQUALID QUARTER OF THE BROTHELS,M,AFTER EARLY NIGHTFALL THE YELLOW LAMPS WOULD LIGHT UP HERE AND THERE THE SQUALLID QUARTER OF THE BROTHALS,0.1111111111111111,1.3230000000000006,0.3570000000000004,4,2,6.625,5.302,5.686,18,87,0.3680555555555556,0.0761494252873563,0.3158888888888889,0.0653563218390804,0.0217198084645874,9491.0,-36.29026,-19.103956,-12.629639,-9.997015,-8.561059,-7.4263477,0.45346034,6.625,94.09424276920986,11.875245868930175,11.131866221756452,0.0226263745380121,0.0002406613669751,0.0094815635608314,0.0111276705084606,0.0284446906824944,0.1114513381674825,1.0398037319580322,0.0342826255318445,0.055176002580295,0.1239583197940863,0.1028478765955337,489.421039219529,1355.069322311687,2308.4781685884936,3353.060613991195,450.1727996569952,1334.4034762479664,2390.934140247462,3324.3131308230086,-1.1722967433618474,958.0467770553378,1874.955886743858,1478.202690462878,18.957959541749545,944.720139176173,18.52400438426196
test-clean/1089/134686/1089-134686-0003.flac,1089,HELLO BERTIE ANY GOOD IN YOUR MIND,M,HO BARTI ANY GOOD IN YOUR MIND,0.2857142857142857,0.9670000000000004,0.1660000000000001,3,1,2.68,1.7129999999999996,1.919,7,25,0.3828571428571429,0.1072,0.2741428571428571,0.07676,0.0355987129736832,2871.0,-43.760895,-25.411268,-17.46208,-13.799934,-11.251555,-9.43079,0.3739073,2.68,169.1668142154439,41.11198524708391,13.948328361805416,0.0211322688899104,0.0001247551867203,0.0082163220513299,0.0102021335314212,0.0246489661539899,0.0817412998412566,0.8966122927107684,0.0227947000629645,0.0326204487406762,0.0706822067553363,0.0683841001888937,486.1473552110471,1528.325340603799,2396.4212454605768,3520.4505304184363,460.4769246295047,1437.7747014724428,2450.102330665575,3457.317452479612,-0.7355493533007369,998.9468426167024,1951.417852311784,1538.8828079486332,18.20796576854609,981.5603535650474,17.828755956207523
test-clean/1089/134686/1089-134686-0004.flac,1089,NUMBER TEN FRESH NELLY IS WAITING ON YOU GOOD NIGHT HUSBAND,M,NUMBERED TEN FRESH NELLY IS WAITING ON YOU GOOD NIGHT HUSBAND,0.0909090909090909,1.998,1.5119999999999998,5,3,5.215,3.2170000000000005,4.774,11,49,0.474090909090909,0.1064285714285714,0.434,0.0974285714285714,0.0269407078987398,8291.0,-40.846336,-21.49763,-14.222331,-11.484237,-9.541077,-8.203167,0.41554058,5.2150625,134.6321302766161,33.704059641873904,12.33388877226337,0.025632278754446,0.0001899057420648,0.0074886268204642,0.0082715527812779,0.0224658804613928,0.0832317234143883,0.7745279159223603,0.0244355150290734,0.0356818071504843,0.0614137322276126,0.0733065450872202,487.3059844777674,1614.9339008295808,2389.848851109104,3411.3577507948585,451.8711295657864,1605.0634866454338,2445.2282866992136,3499.439045682441,-0.4637039119030294,1015.8559720388848,2000.4004871482184,1578.3603540117035,17.778304108795794,999.744674827982,17.504469331643186
test-clean/1089/134686/1089-134686-0005.flac,1089,THE MUSIC CAME NEARER AND HE RECALLED THE WORDS THE WORDS OF SHELLEY'S FRAGMENT UPON THE MOON WANDERING COMPANIONLESS PALE FOR WEARINESS,M,THE MUSIC CAME NEARER AND HE RECALLED THE WORDS THE WORDS OF CHELLEY'S FRAGMENT UPON THE MOON WANDERING COMPANIONLESS PALE FOR WEARINESS,0.0454545454545454,2.253,1.2900000000000005,5,3,9.635,7.382,8.694,22,113,0.4379545454545454,0.0852654867256637,0.3951818181818182,0.0769380530973451,0.0192124923334089,14527.0,-40.07185,-20.066324,-13.552463,-10.736798,-9.052618,-7.830295,0.39069107,9.635,101.2449764224039,13.597992848399524,14.10547428182631,0.0195126587432757,0.0001931519538634,0.0073284233034717,0.0081318263513022,0.0219852699104151,0.0864635517155362,0.8281135760957509,0.0278488061259752,0.0363796109488741,0.0759262869139973,0.0835464183779258,400.0032421253761,1444.020616816497,2346.378606133213,3416.3213848636983,383.8172357579336,1425.581018786102,2428.2543497138945,3458.7518723922703,-1.0046528469559748,1024.9782122114457,1924.10111916255,1464.13961031711,19.23415298533157,976.5022654150382,17.921105377632745
test-clean/1089/134686/1089-134686-0006.flac,1089,THE DULL LIGHT FELL MORE FAINTLY UPON THE PAGE WHEREON ANOTHER EQUATION BEGAN TO UNFOLD ITSELF SLOWLY AND TO SPREAD ABROAD ITS WIDENING TAIL,M,THE DULL LIGHT FELL MORE FAINTLY UPON THE PAGE WHEREON ANOTHER EQUATION BEGAN TO UNFOLD ITSELF SLOWLY AND TO SPREAD ABROAD ITS WIDENING TAIL,0.0,2.4479999999999977,1.3059999999999985,7,5,10.555,8.107000000000003,9.441,24,117,0.4397916666666666,0.0902136752136752,0.393375,0.0806923076923076,0.0205959112459276,15050.0,-37.15403,-19.228739,-12.54497,-9.93801,-8.414715,-7.380038,0.4410639,10.555,92.57777357239702,9.111760506105204,11.907233997323754,0.0270757700767277,0.0002937565867549,0.0130874678961735,0.0124291604856755,0.0392624036885205,0.0988689734664832,0.9264943096932892,0.0341096650156858,0.0499382625068774,0.1064862151544603,0.1023289950470575,449.33238013899455,1385.272170476498,2464.7980182970355,3434.5615140749533,432.2106547636511,1365.0548316245402,2507.050227517418,3468.8449468139274,-0.8261982601648271,1012.2114306834254,1943.2901651798843,1505.041141983785,18.645679012034,984.3938313076632,17.77743769153155
test-clean/1089/134686/1089-134686-0007.flac,1089,A COLD LUCID INDIFFERENCE REIGNED IN HIS SOUL,M,A COLD LOCID INDIFFERENCE REIGNED IN HIS SOUL,0.125,1.0020000000000002,0.0,2,0,4.275,3.273,3.29,8,38,0.534375,0.1125,0.41125,0.086578947368421,0.0166514817211118,7423.0,-45.780693,-22.740246,-15.273358,-11.962548,-9.942422,-8.489222,0.41383997,4.275,98.2156343554166,12.302275148136076,14.020214114581837,0.0229601341316282,0.0002340777390338,0.008565056706489,0.0107418145088843,0.025695170119467,0.091524864889564,0.9576983642521824,0.0259101386205611,0.0407863477563487,0.0882458416176805,0.0777304158616835,375.1334682300897,1393.9621025754095,2476.970261787303,3465.973461355709,367.5006711080933,1414.5997798928338,2536.573916533769,3458.3019269536426,-0.904811503572269,1030.26708528185,1944.244073622085,1461.3375298223195,19.33116095823217,988.1495971935938,17.709869082273663
test-clean/1089/134686/1089-134686-0008.flac,1089,THE CHAOS IN WHICH HIS ARDOUR EXTINGUISHED ITSELF WAS A COLD INDIFFERENT KNOWLEDGE OF HIMSELF,M,THE CHAOS IN WHICH HIS ARDOUR EXTINGUISHED ITSELF WAS A COLD INDIFFERENT KNOWLEDGE OF HIMSELF,0.0,1.293,0.3570000000000002,4,2,6.73,5.437,5.807,15,79,0.4486666666666667,0.0851898734177215,0.3871333333333333,0.073506329113924,0.0179507899012255,12444.0,-41.176823,-20.587334,-13.58637,-10.630423,-9.0076275,-7.766847,0.42744955,6.73,101.07117742666932,16.197466929405387,12.450004684557728,0.0251944086801205,0.0002494380444467,0.0095752167627995,0.0088050267111464,0.0287256502883985,0.0991980773096185,0.9402853934779732,0.0382179106073842,0.0432518950659377,0.0839285467652663,0.1146537318221526,424.2671236853658,1378.2475884192147,2391.807518940494,3468.434941976692,392.39975167544105,1438.3285748274009,2455.3099351900314,3451.5054797264743,-0.9287686237094824,1019.7019093503444,1934.3859353548369,1478.8544421570364,19.02836070130733,979.6303216712646,17.863881520270553
test-clean/1089/134686/1089-134686-0009.flac,1089,AT MOST BY AN ALMS GIVEN TO A BEGGAR WHOSE BLESSING HE FLED FROM HE MIGHT HOPE WEARILY TO WIN FOR HIMSELF SOME MEASURE OF ACTUAL GRACE,M,AT MOST BY AN ALMS GIVEN TO A BEGGAR WHOSE BLESSING HE FLED FROM HE MIGHT HOPE WEARILY TO WIN FOR HIMSELF SOME MEASURE OF ACTUAL GRACE,0.0,3.425999999999998,2.193999999999999,8,6,10.575,7.149000000000001,9.464,27,108,0.3916666666666666,0.0979166666666666,0.3505185185185185,0.0876296296296296,0.0211145587996942,16913.0,-41.39487,-20.783396,-13.698206,-10.800806,-8.967365,-7.629684,0.4213612,10.575,103.5932070330353,12.276095193271177,13.64781392044382,0.024106893618218,0.0002329426385634,0.0103533860470661,0.0121388957735812,0.0310601581411985,0.1036448058323369,0.9849139453806094,0.0339772982401191,0.0514112570551242,0.1029996217128847,0.1019318947203575,438.43688519281903,1423.930512515923,2355.3110433833567,3378.39442935172,407.8021683335651,1408.7020851474508,2409.566186892687,3418.216406987336,-1.0390246210520626,1003.4714128845904,1911.07171184026,1474.8633229041466,19.04153834965846,966.8870049321596,18.099322786149003
